slug,name,city,state,address,full_address
s-kolb,Mister Car Wash South Kolb,Tucson,AZ,2409 S Kolb Rd,"2409 S Kolb Rd, Tucson, AZ"
e-22nd,Mister Car Wash E. 22nd,Tucson,AZ,6301 E 22nd St,"6301 E 22nd St, Tucson, AZ"
kino,Mister Car Wash Kino,Tucson,AZ,2975 S Kino Parkway,"2975 S Kino Parkway, Tucson, AZ"
midvale,Mister Car Wash Midvale,Tucson,AZ,5075 S Midvale Park Rd,"5075 S Midvale Park Rd, Tucson, AZ"
swan,Mister Car Wash Swan,Tucson,AZ,4600 E Broadway Blvd,"4600 E Broadway Blvd, Tucson, AZ"
tanque-verde,Mister Car Wash Tanque Verde,Tucson,AZ,6345 E Tanque Verde Rd,"6345 E Tanque Verde Rd, Tucson, AZ"
speedway,Mister Car Wash Speedway,Tucson,AZ,3101 E Speedway Blvd,"3101 E Speedway Blvd, Tucson, AZ"
euclid,Mister Car Wash Euclid,Tucson,AZ,730 E Broadway Blvd,"730 E Broadway Blvd, Tucson, AZ"
e-grant,Mister Car Wash E. Grant,Tucson,AZ,3150 E Grant Rd,"3150 E Grant Rd, Tucson, AZ"
miracle-mile,Mister Car Wash Miracle Mile,Tucson,AZ,3050 N Oracle Rd,"3050 N Oracle Rd, Tucson, AZ"
north-oracle,Mister Car Wash North Oracle,Tucson,AZ,4941 N Oracle Rd,"4941 N Oracle Rd, Tucson, AZ"
